hour,total_kWh,session_count,avg_kWh,max_kWh,min_kWh,avg_session_hrs,hour_of_day,day_of_week,month,day_of_month,week_of_year,is_weekend,is_business_hours,quarter,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,kWh_lag_1h,kWh_lag_2h,kWh_lag_3h,kWh_lag_6h,kWh_lag_12h,kWh_lag_24h,kWh_lag_48h,kWh_lag_168h,kWh_rolling_mean_3h,kWh_rolling_std_3h,kWh_rolling_mean_6h,kWh_rolling_std_6h,kWh_rolling_mean_12h,kWh_rolling_std_12h,kWh_rolling_mean_24h,kWh_rolling_std_24h,kWh_rolling_mean_48h,kWh_rolling_std_48h,kWh_rolling_mean_168h,kWh_rolling_std_168h,kWh_diff_1h,kWh_diff_24h,kWh_diff_168h,kWh_expanding_mean,kWh_per_session,demand_intensity
2018-07-05 04:00:00+00:00,38.016,4.0,9.504,13.453,2.769,5.671180555555556,4,3,7,5,27,0,0,3,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,21.424,4.832,9.84,28.84,11.943999999999999,7.0845,14.785,24.412999999999997,12.031999999999973,8.510420906159828,17.171499999999984,8.815860383422592,19.133416666666665,11.25333748844254,10.123129166666667,12.135656680409305,17.553545784797915,22.11398091373616,21.687430898406546,23.482732744235886,16.592,30.9315,13.603000000000002,23.509511718375723,9.504,0.0
2018-07-05 05:00:00+00:00,1.077,1.0,1.077,1.077,1.077,0.17833333333333334,5,3,7,5,27,0,0,3,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,38.016,21.424,4.832,22.311,29.034,0.596,14.604,9.118,21.423999999999968,16.592000000000066,18.700833333333318,11.60088873175959,21.30608333333333,12.214864740503122,11.411941666666666,13.377820422264637,18.037524951464583,22.30548401408439,21.768401136501787,23.515616050573318,-36.939,0.481,-8.041,23.518054997693525,1.077,0.0
2018-07-05 06:00:00+00:00,5.376375,0.0,2.050875,0.0,0.0,0.9742100694444444,6,3,7,5,27,0,0,3,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,1.077,38.016,21.424,15.782,18.677,0.8016,7.711499999999998,11.42475,20.172333333333302,18.50128191054165,15.161833333333318,13.381495946517585,18.97633333333333,13.230798858127983,11.431983333333333,13.361262319682254,17.755712451464582,22.43486327560556,21.720538041263687,23.54967709844756,4.299375,4.574775000000001,-6.048374999999999,23.504846607465335,0.0,0.0
2018-07-05 07:00:00+00:00,9.67575,0.0,3.02475,0.0,0.0,1.7700868055555556,7,3,7,5,27,0,0,3,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,5.376375,1.077,38.016,9.84,8.32,1.0072,0.819,13.7315,14.823124999999969,20.200327829564483,13.427562499999985,13.947376706694252,17.86794791666666,13.802903087618441,11.622598958333333,13.235048868539671,17.70706401396458,22.45962497127019,21.684535809120835,23.57012575957437,4.299375,8.66855,-4.05575,23.494182800637414,0.0,0.0
2018-07-05 08:00:00+00:00,13.975125,0.0,3.998625,0.0,0.0,2.5659635416666666,8,3,7,5,27,0,1,3,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,9.67575,5.376375,1.077,4.832,45.233000000000004,1.2128,3.7085,16.03825,5.37637499999997,4.2993750000002855,13.400187499999982,13.9559849598098,17.98092708333333,13.72296381945011,11.983788541666664,13.049741730860855,17.891579638964583,22.354063137187563,21.660394440073212,23.580395106783843,4.2993749999999995,12.762325,-2.063125000000001,23.48605908940835,0.0,13.975125
2018-07-05 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,9,3,7,5,27,0,1,3,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,13.975125,9.67575,5.376375,21.424,13.364,0.0,6.598,0.0,9.67574999999997,4.299375000000284,14.924041666666652,13.317894037409463,15.376104166666664,10.717304778375611,12.515552083333334,12.850253169818012,18.105467659797917,22.264406037553005,21.648113934120833,23.583877586754497,-13.975125,0.0,0.0,23.480470996523856,0.0,0.0
2018-07-05 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,10,3,7,5,27,0,1,3,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0.0,13.975125,9.67575,38.016,28.84,0.0,9.4875,0.0,7.88362499999997,7.157849796071964,11.353374999999984,14.077010383067842,14.262437499999997,11.603133642848588,12.515552083333334,12.850253169818012,17.968009326464582,22.357138266416197,21.648113934120833,23.583877586754497,0.0,0.0,0.0,23.466683286015034,0.0,0.0
2018-07-05 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,11,3,7,5,27,0,1,3,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0.0,0.0,13.975125,1.077,22.311,0.0,0.0,0.0,4.65837499999997,8.06854218070882,5.0173749999999835,5.795606657201621,11.859104166666663,11.291829207393995,12.515552083333334,12.850253169818012,17.770353076464584,22.475334819099483,21.648113934120833,23.583877586754497,0.0,0.0,0.0,23.452911758265024,0.0,0.0
2018-07-05 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,12,3,7,5,27,0,1,3,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0.0,0.0,0.0,5.376375,15.782,0.0,0.0,0.0,0.0,0.0,4.8378749999999835,5.956499943339187,9.999854166666664,11.251157410011869,12.515552083333334,12.850253169818012,17.770353076464584,22.475334819099483,21.648113934120833,23.583877586754497,0.0,0.0,0.0,23.439156384799766,0.0,0.0
2018-07-05 13:00:00+00:00,35.472,4.0,8.868,13.004,4.122,6.545347222222222,13,3,7,5,27,0,1,3,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0.0,0.0,0.0,9.67575,9.84,0.0,18.156,27.572,0.0,0.0,3.9418124999999833,6.256148049993481,8.684687499999997,11.434723379000422,12.515552083333334,12.850253169818012,17.770353076464584,22.475334819099483,21.648113934120833,23.583877586754497,35.472,35.472,7.900000000000002,23.42541713721196,8.868,35.472
2018-07-05 14:00:00+00:00,52.010999999999996,6.0,8.6685,16.2,3.111,8.679351851851852,14,3,7,5,27,0,1,3,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,35.472,0.0,0.0,13.975125,4.832,0.0,49.366,48.334999999999994,11.82399999999997,20.479768748694408,8.241187499999983,14.464189395224928,10.820687499999996,13.816187141099942,13.993552083333334,13.377299056616659,18.131103076464584,22.620158853918234,21.695137743644644,23.60362755159385,16.538999999999994,52.010999999999996,3.676000000000002,23.432474303505334,8.6685,52.010999999999996
2018-07-05 15:00:00+00:00,83.173,10.0,8.3173,25.422,3.986,7.397333333333333,15,3,7,5,27,0,1,3,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,52.010999999999996,35.472,0.0,0.0,21.424,2.652,65.9940976703,113.96,29.16099999999997,26.573625477153094,14.580499999999981,23.18560339305406,14.752270833333329,18.02787385761918,16.160677083333336,15.112176919934337,18.18620724313125,22.7009454523796,21.717018696025598,23.630159965500138,31.162000000000006,80.521,-30.786999999999992,23.44920646140726,8.3173,83.173
